car_ID,symboling,CarName,fueltype,doornumber,carbody,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
25,1,dodge monaco (sw),gas,four,hatchback,93.7,157.3,63.8,50.6,1967,2,90,2.97,3.23,9.4,68,5500,31,38,6229
26,1,dodge colt hardtop,gas,four,sedan,93.7,157.3,63.8,50.6,1989,2,90,2.97,3.23,9.4,68,5500,31,38,6692
27,1,dodge colt (sw),gas,four,sedan,93.7,157.3,63.8,50.6,1989,2,90,2.97,3.23,9.4,68,5500,31,38,7609
28,1,dodge coronet custom,gas,two,sedan,93.7,157.3,63.8,50.6,2191,2,98,3.03,3.39,7.6,102,5500,24,30,8558
29,-1,dodge dart custom,gas,four,wagon,103.3,174.6,64.6,59.8,2535,2,122,3.34,3.46,8.5,88,5000,24,30,8921
30,3,dodge coronet custom (sw),gas,two,hatchback,95.9,173.2,66.3,50.2,2811,2,156,3.6,3.9,7,145,5000,19,24,12964
31,2,honda civic,gas,two,hatchback,86.6,144.6,63.9,50.8,1713,2,92,2.91,3.41,9.6,58,4800,49,54,6479
32,2,honda civic cvcc,gas,two,hatchback,86.6,144.6,63.9,50.8,1819,2,92,2.91,3.41,9.2,76,6000,31,38,6855
33,1,honda civic,gas,two,hatchback,93.7,150,64,52.6,1837,2,79,2.91,3.07,10.1,60,5500,38,42,5399
34,1,honda accord cvcc,gas,two,hatchback,93.7,150,64,52.6,1940,2,92,2.91,3.41,9.2,76,6000,30,34,6529
35,1,honda civic cvcc,gas,two,hatchback,93.7,150,64,52.6,1956,2,92,2.91,3.41,9.2,76,6000,30,34,7129
36,0,honda accord lx,gas,four,sedan,96.5,163.4,64,54.5,2010,2,92,2.91,3.41,9.2,76,6000,30,34,7295
37,0,honda civic 1500 gl,gas,four,wagon,96.5,157.1,63.9,58.3,2024,2,92,2.92,3.41,9.2,76,6000,30,34,7295
38,0,honda accord,gas,two,hatchback,96.5,167.5,65.2,53.3,2236,2,110,3.15,3.58,9,86,5800,27,33,7895
39,0,honda civic 1300,gas,two,hatchback,96.5,167.5,65.2,53.3,2289,2,110,3.15,3.58,9,86,5800,27,33,9095
40,0,honda prelude,gas,four,sedan,96.5,175.4,65.2,54.1,2304,2,110,3.15,3.58,9,86,5800,27,33,8845
41,0,honda accord,gas,four,sedan,96.5,175.4,62.5,54.1,2372,2,110,3.15,3.58,9,86,5800,27,33,10295
42,0,honda civic,gas,four,sedan,96.5,175.4,65.2,54.1,2465,2,110,3.15,3.58,9,101,5800,24,28,12945
43,1,honda civic (auto),gas,two,sedan,96.5,169.1,66,51,2293,2,110,3.15,3.58,9.1,100,5500,25,31,10345
44,0,isuzu MU-X,gas,four,sedan,94.3,170.7,61.8,53.5,2337,2,111,3.31,3.23,8.5,78,4800,24,29,6785
45,1,isuzu D-Max ,gas,two,sedan,94.5,155.9,63.6,52,1874,2,90,3.03,3.11,9.6,70,5400,38,43,8916.5
46,0,isuzu D-Max V-Cross,gas,four,sedan,94.5,155.9,63.6,52,1909,2,90,3.03,3.11,9.6,70,5400,38,43,8916.5
47,2,isuzu D-Max ,gas,two,hatchback,96,172.6,65.2,51.4,2734,2,119,3.43,3.23,9.2,90,5000,24,29,11048
48,0,jaguar xj,gas,four,sedan,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,32250
49,0,jaguar xf,gas,four,sedan,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,35550
50,0,jaguar xk,gas,two,sedan,102,191.7,70.6,47.8,3950,12,326,3.54,2.76,11.5,262,5000,13,17,36000
51,1,maxda rx3,gas,two,hatchback,93.1,159.1,64.2,54.1,1890,2,91,3.03,3.15,9,68,5000,30,31,5195
52,1,maxda glc deluxe,gas,two,hatchback,93.1,159.1,64.2,54.1,1900,2,91,3.03,3.15,9,68,5000,31,38,6095
53,1,mazda rx2 coupe,gas,two,hatchback,93.1,159.1,64.2,54.1,1905,2,91,3.03,3.15,9,68,5000,31,38,6795
54,1,mazda rx-4,gas,four,sedan,93.1,166.8,64.2,54.1,1945,2,91,3.03,3.15,9,68,5000,31,38,6695
55,1,mazda glc deluxe,gas,four,sedan,93.1,166.8,64.2,54.1,1950,2,91,3.08,3.15,9,68,5000,31,38,7395
56,3,mazda 626,gas,two,hatchback,95.3,169,65.7,49.6,2380,2,70,3.33,3.255,9.4,101,6000,17,23,10945
57,3,mazda glc,gas,two,hatchback,95.3,169,65.7,49.6,2380,2,70,3.33,3.255,9.4,101,6000,17,23,11845
58,3,mazda rx-7 gs,gas,two,hatchback,95.3,169,65.7,49.6,2385,2,70,3.33,3.255,9.4,101,6000,17,23,13645
59,3,mazda glc 4,gas,two,hatchback,95.3,169,65.7,49.6,2500,2,80,3.33,3.255,9.4,135,6000,16,23,15645
60,1,mazda 626,gas,two,hatchback,98.8,177.8,66.5,53.7,2385,2,122,3.39,3.39,8.6,84,4800,26,32,8845
61,0,mazda glc custom l,gas,four,sedan,98.8,177.8,66.5,55.5,2410,6,122,3.39,3.39,8.6,84,4800,26,32,8495
62,1,mazda glc custom,gas,two,hatchback,98.8,177.8,66.5,53.7,2385,8,122,3.39,3.39,8.6,84,4800,26,32,10595
63,0,mazda rx-4,gas,four,sedan,98.8,177.8,66.5,55.5,2410,8,122,3.39,3.39,8.6,84,4800,26,32,10245
64,0,mazda glc deluxe,diesel,four,sedan,98.8,177.8,66.5,55.5,2443,8,122,3.39,3.39,22.7,64,4650,36,42,10795
65,0,mazda 626,gas,four,hatchback,98.8,177.8,66.5,55.5,2425,8,122,3.39,3.39,8.6,84,4800,26,32,11245
66,0,mazda glc,gas,four,sedan,104.9,175,66.1,54.4,2670,8,140,3.76,3.16,8,120,5000,19,27,18280
67,0,mazda rx-7 gs,diesel,four,sedan,104.9,175,66.1,54.4,2700,8,134,3.43,3.64,22,72,4200,31,39,18344
68,-1,buick electra 225 custom,diesel,four,sedan,110,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,25552
69,-1,buick century luxus (sw),diesel,four,wagon,110,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123,4350,22,25,28248
70,0,buick century,diesel,two,hardtop,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123,4350,22,25,28176
71,-1,buick skyhawk,diesel,four,sedan,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,123,4350,22,25,31600
72,-1,buick opel isuzu deluxe,gas,four,sedan,115.6,202.6,71.7,56.5,3740,8,234,3.46,3.1,8.3,155,4750,16,18,34184
73,3,buick skylark,gas,two,convertible,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,155,4750,16,18,35056
74,0,buick century special,gas,four,sedan,120.9,208.1,71.7,56.7,3900,8,308,3.8,3.35,8,184,4500,14,16,40960
75,1,buick regal sport coupe (turbo),gas,two,hardtop,112,199.2,72,55.4,3715,8,304,3.8,3.35,8,184,4500,14,16,45400
76,1,mercury cougar,gas,two,hatchback,102.7,178.4,68,54.8,2910,8,140,3.78,3.12,8,175,5000,19,24,16503
77,2,mitsubishi mirage,gas,two,hatchback,93.7,157.3,64.4,50.8,1918,8,92,2.97,3.23,9.4,68,5500,37,41,5389
78,2,mitsubishi lancer,gas,two,hatchback,93.7,157.3,64.4,50.8,1944,8,92,2.97,3.23,9.4,68,5500,31,38,6189
79,2,mitsubishi outlander,gas,two,hatchback,93.7,157.3,64.4,50.8,2004,8,92,2.97,3.23,9.4,68,5500,31,38,6669
80,1,mitsubishi g4,gas,two,hatchback,93,157.3,63.8,50.8,2145,8,98,3.03,3.39,7.6,102,5500,24,30,7689
81,3,mitsubishi mirage g4,gas,two,hatchback,96.3,173,65.4,49.4,2370,8,110,3.17,3.46,7.5,116,5500,23,30,9959
82,3,mitsubishi g4,gas,two,hatchback,96.3,173,65.4,49.4,2328,8,122,3.35,3.46,8.5,88,5000,25,32,8499
83,3,mitsubishi outlander,gas,two,hatchback,95.9,173.2,66.3,50.2,2833,8,156,3.58,3.86,7,145,5000,19,24,12629
84,3,mitsubishi g4,gas,two,hatchback,95.9,173.2,66.3,50.2,2921,8,156,3.59,3.86,7,145,5000,19,24,14869
85,3,mitsubishi mirage g4,gas,two,hatchback,95.9,173.2,66.3,50.2,2926,8,156,3.59,3.86,7,145,5000,19,24,14489
86,1,mitsubishi montero,gas,four,sedan,96.3,172.4,65.4,51.6,2365,8,122,3.35,3.46,8.5,88,5000,25,32,6989
87,1,mitsubishi pajero,gas,four,sedan,96.3,172.4,65.4,51.6,2405,6,122,3.35,3.46,8.5,88,5000,25,32,8189
88,1,mitsubishi outlander,gas,four,sedan,96.3,172.4,65.4,51.6,2403,6,110,3.17,3.46,7.5,116,5500,23,30,9279
89,-1,mitsubishi mirage g4,gas,four,sedan,96.3,172.4,65.4,51.6,2403,6,110,3.17,3.46,7.5,116,5500,23,30,9279
90,1,Nissan versa,gas,two,sedan,94.5,165.3,63.8,54.5,1889,6,97,3.15,3.29,9.4,69,5200,31,37,5499
91,1,nissan gt-r,diesel,two,sedan,94.5,165.3,63.8,54.5,2017,6,103,2.99,3.47,21.9,55,4800,45,50,7099
92,1,nissan rogue,gas,two,sedan,94.5,165.3,63.8,54.5,1918,6,97,3.15,3.29,9.4,69,5200,31,37,6649
93,1,nissan latio,gas,four,sedan,94.5,165.3,63.8,54.5,1938,6,97,3.15,3.29,9.4,69,5200,31,37,6849
94,1,nissan titan,gas,four,wagon,94.5,170.2,63.8,53.5,2024,6,97,3.15,3.29,9.4,69,5200,31,37,7349
95,1,nissan leaf,gas,two,sedan,94.5,165.3,63.8,54.5,1951,6,97,3.15,3.29,9.4,69,5200,31,37,7299
96,1,nissan juke,gas,two,hatchback,94.5,165.6,63.8,53.3,2028,6,97,3.15,3.29,9.4,69,5200,31,37,7799
97,1,nissan latio,gas,four,sedan,94.5,165.3,63.8,54.5,1971,6,97,3.15,3.29,9.4,69,5200,31,37,7499
98,1,nissan note,gas,four,wagon,94.5,170.2,63.8,53.5,2037,6,97,3.15,3.29,9.4,69,5200,31,37,7999
99,2,nissan clipper,gas,two,hardtop,95.1,162.4,63.8,53.3,2008,6,97,3.15,3.29,9.4,69,5200,31,37,8249
100,0,nissan rogue,gas,four,hatchback,97.2,173.4,65.2,54.7,2324,6,120,3.33,3.47,8.5,97,5200,27,34,8949
101,0,nissan nv200,gas,four,sedan,97.2,173.4,65.2,54.7,2302,6,120,3.33,3.47,8.5,97,5200,27,34,9549
102,0,nissan dayz,gas,four,sedan,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,152,5200,17,22,13499
103,0,nissan fuga,gas,four,wagon,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,152,5200,17,22,14399
104,0,nissan otti,gas,four,sedan,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,152,5200,19,25,13499
105,3,nissan teana,gas,two,hatchback,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9,160,5200,19,25,17199
106,3,nissan kicks,gas,two,hatchback,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7.8,200,5200,17,23,19699
107,1,nissan clipper,gas,two,hatchback,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9,160,5200,19,25,18399
108,0,peugeot 504,gas,four,sedan,107.9,186.7,68.4,56.7,3020,6,120,3.46,3.19,8.4,97,5000,19,24,11900
109,0,peugeot 304,diesel,four,sedan,107.9,186.7,68.4,56.7,3197,6,152,3.7,3.52,21,95,4150,28,33,13200
110,0,peugeot 504 (sw),gas,four,wagon,114.2,198.9,68.4,58.7,3230,6,120,3.46,3.19,8.4,97,5000,19,24,12440
111,0,peugeot 504,diesel,four,wagon,114.2,198.9,68.4,58.7,3430,6,152,3.7,3.52,21,95,4150,25,25,13860
112,0,peugeot 504,gas,four,sedan,107.9,186.7,68.4,56.7,3075,6,120,3.46,2.19,8.4,95,5000,19,24,15580
113,0,peugeot 604sl,diesel,four,sedan,107.9,186.7,68.4,56.7,3252,6,152,3.7,3.52,21,95,4150,28,33,16900
114,0,peugeot 504,gas,four,wagon,114.2,198.9,68.4,56.7,3285,6,120,3.46,2.19,8.4,95,5000,19,24,16695
115,0,peugeot 505s turbo diesel,diesel,four,wagon,114.2,198.9,68.4,58.7,3485,6,152,3.7,3.52,21,95,4150,25,25,17075
116,0,peugeot 504,gas,four,sedan,107.9,186.7,68.4,56.7,3075,6,120,3.46,3.19,8.4,97,5000,19,24,16630
117,0,peugeot 504,diesel,four,sedan,107.9,186.7,68.4,56.7,3252,6,152,3.7,3.52,21,95,4150,28,33,17950
118,0,peugeot 604sl,gas,four,sedan,108,186.7,68.3,56,3130,6,134,3.61,3.21,7,142,5600,18,24,18150
119,1,plymouth fury iii,gas,two,hatchback,93.7,157.3,63.8,50.8,1918,6,90,2.97,3.23,9.4,68,5500,37,41,5572
120,1,plymouth cricket,gas,two,hatchback,93.7,157.3,63.8,50.8,2128,6,98,3.03,3.39,7.6,102,5500,24,30,7957
121,1,plymouth fury iii,gas,four,hatchback,93.7,157.3,63.8,50.6,1967,6,90,2.97,3.23,9.4,68,5500,31,38,6229
122,1,plymouth satellite custom (sw),gas,four,sedan,93.7,167.3,63.8,50.8,1989,6,90,2.97,3.23,9.4,68,5500,31,38,6692
123,1,plymouth fury gran sedan,gas,four,sedan,93.7,167.3,63.8,50.8,2191,6,98,2.97,3.23,9.4,68,5500,31,38,7609
124,-1,plymouth valiant,gas,four,wagon,103.3,174.6,64.6,59.8,2535,6,122,3.35,3.46,8.5,88,5000,24,30,8921
125,3,plymouth duster,gas,two,hatchback,95.9,173.2,66.3,50.2,2818,6,156,3.59,3.86,7,145,5000,19,24,12764
126,3,porsche macan,gas,two,hatchback,94.5,168.9,68.3,50.2,2778,6,151,3.94,3.11,9.5,143,5500,19,27,22018
127,3,porcshce panamera,gas,two,hardtop,89.5,168.9,65,51.6,2756,6,194,3.74,2.9,9.5,207,5900,17,25,32528
128,3,porsche cayenne,gas,two,hardtop,89.5,168.9,65,51.6,2756,6,194,3.74,2.9,9.5,207,5900,17,25,34028
129,3,porsche boxter,gas,two,convertible,89.5,168.9,65,51.6,2800,6,194,3.74,2.9,9.5,207,5900,17,25,37028
130,1,porsche cayenne,gas,two,hatchback,98.4,175.7,72.3,50.5,3366,8,203,3.94,3.11,10,288,5750,17,28,31400.5
131,0,renault 12tl,gas,four,wagon,96.1,181.5,66.5,55.2,2579,6,132,3.46,3.9,8.7,90,5100,23,31,9295
132,2,renault 5 gtl,gas,two,hatchback,96.1,176.8,66.6,50.5,2460,6,132,3.46,3.9,8.7,90,5100,23,31,9895
133,3,saab 99e,gas,two,hatchback,99.1,186.6,66.5,56.1,2658,6,121,3.54,3.07,9.31,110,5250,21,28,11850
134,2,saab 99le,gas,four,sedan,99.1,186.6,66.5,56.1,2695,6,121,3.54,3.07,9.3,110,5250,21,28,12170
135,3,saab 99le,gas,two,hatchback,99.1,186.6,66.5,56.1,2707,6,121,2.54,2.07,9.3,110,5250,21,28,15040
136,2,saab 99gle,gas,four,sedan,99.1,186.6,66.5,56.1,2758,6,121,3.54,3.07,9.3,110,5250,21,28,15510
137,3,saab 99gle,gas,two,hatchback,99.1,186.6,66.5,56.1,2808,6,121,3.54,3.07,9,160,5500,19,26,18150
138,2,saab 99e,gas,four,sedan,99.1,186.6,66.5,56.1,2847,6,121,3.54,3.07,9,160,5500,19,26,18620
139,2,subaru,gas,two,hatchback,93.7,156.9,63.4,53.7,2050,6,97,3.62,2.36,9,69,4900,31,36,5118
140,2,subaru dl,gas,two,hatchback,93.7,157.9,63.6,53.7,2120,6,108,3.62,2.64,8.7,73,4400,26,31,7053
141,2,subaru dl,gas,two,hatchback,93.3,157.3,63.8,55.7,2240,6,108,3.62,2.64,8.7,73,4400,26,31,7603
142,0,subaru,gas,four,sedan,97.2,172,65.4,52.5,2145,6,108,3.62,2.64,9.5,82,4800,32,37,7126
143,0,subaru brz,gas,four,sedan,97.2,172,65.4,52.5,2190,6,108,3.62,2.64,9.5,82,4400,28,33,7775
144,0,subaru baja,gas,four,sedan,97.2,172,65.4,52.5,2340,6,108,3.62,2.64,9,94,5200,26,32,9960
145,0,subaru r1,gas,four,sedan,97,172,65.4,54.3,2385,6,108,3.62,2.64,9,82,4800,24,25,9233
146,0,subaru r2,gas,four,sedan,97,172,65.4,54.3,2510,6,108,3.62,2.64,7.7,111,4800,24,29,11259
147,0,subaru trezia,gas,four,wagon,97,173.5,65.4,53,2290,6,108,3.62,2.64,9,82,4800,28,32,7463
148,0,subaru tribeca,gas,four,wagon,97,173.5,65.4,53,2455,6,108,3.62,2.64,9,94,5200,25,31,10198
149,0,subaru dl,gas,four,wagon,96.9,173.6,65.4,54.9,2420,6,108,3.62,2.64,9,82,4800,23,29,8013
150,0,subaru dl,gas,four,wagon,96.9,173.6,65.4,54.9,2650,6,108,3.62,2.64,7.7,111,4800,23,23,11694
151,1,toyota corona mark ii,gas,two,hatchback,95.7,158.7,63.6,54.5,1985,6,92,3.05,3.03,9,62,4800,35,39,5348
152,1,toyota corona,gas,two,hatchback,95.7,158.7,63.6,54.5,2040,6,92,3.05,3.03,9,62,4800,31,38,6338
153,1,toyota corolla 1200,gas,four,hatchback,95.7,158.7,63.6,54.5,2015,6,92,3.05,3.03,9,62,4800,31,38,6488
154,0,toyota corona hardtop,gas,four,wagon,95.7,169.7,63.6,59.1,2280,6,92,3.05,3.03,9,62,4800,31,37,6918
155,0,toyota corolla 1600 (sw),gas,four,wagon,95.7,169.7,63.6,59.1,2290,6,92,3.05,3.03,9,62,4800,27,32,7898
156,0,toyota carina,gas,four,wagon,95.7,169.7,63.6,59.1,3110,6,92,3.05,3.03,9,62,4800,27,32,8778
157,0,toyota mark ii,gas,four,sedan,95.7,166.3,64.4,53,2081,6,98,3.19,3.03,9,70,4800,30,37,6938
158,0,toyota corolla 1200,gas,four,hatchback,95.7,166.3,64.4,52.8,2109,6,98,3.19,3.03,9,70,4800,30,37,7198
159,0,toyota corona,diesel,four,sedan,95.7,166.3,64.4,53,2275,6,110,3.27,3.35,22.5,56,4500,34,36,7898
160,0,toyota corolla,diesel,four,hatchback,95.7,166.3,64.4,52.8,2275,6,110,3.27,3.35,22.5,56,4500,38,47,7788
161,0,toyota corona,gas,four,sedan,95.7,166.3,64.4,53,2094,6,98,3.19,3.03,9,70,4800,38,47,7738
162,0,toyota corolla,gas,four,hatchback,95.7,166.3,64.4,52.8,2122,6,98,3.19,3.03,9,70,4800,28,34,8358
163,0,toyota mark ii,gas,four,sedan,95.7,166.3,64.4,52.8,2140,6,98,3.19,3.03,9,70,4800,28,34,9258
164,1,toyota corolla liftback,gas,two,sedan,94.5,168.7,64,52.6,2169,6,98,3.19,3.03,9,70,4800,29,34,8058
165,1,toyota corona,gas,two,hatchback,94.5,168.7,64,52.6,2204,6,98,3.19,3.03,9,70,4800,29,34,8238
166,1,toyota celica gt liftback,gas,two,sedan,94.5,168.7,64,52.6,2265,6,98,3.24,3.08,9.4,112,6600,26,29,9298
167,1,toyota corolla tercel,gas,two,hatchback,94.5,168.7,64,52.6,2300,6,98,3.24,3.08,9.4,112,6600,26,29,9538
168,2,toyota corona liftback,gas,two,hardtop,98.4,176.2,65.6,52,2540,6,146,3.62,3.5,9.3,116,4800,24,30,8449
169,2,toyota corolla,gas,two,hardtop,98.4,176.2,65.6,52,2536,6,146,3.62,3.5,9.3,116,4800,24,30,9639
170,2,toyota starlet,gas,two,hatchback,98.4,176.2,65.6,52,2551,6,146,3.62,3.5,9.3,116,4800,24,30,9989
171,2,toyota tercel,gas,two,hardtop,98.4,176.2,65.6,52,2679,6,146,3.62,3.5,9.3,116,4800,24,30,11199
172,2,toyota corolla,gas,two,hatchback,98.4,176.2,65.6,52,2714,6,146,3.62,3.5,9.3,116,4800,24,30,11549
173,2,toyota cressida,gas,two,convertible,98.4,176.2,65.6,53,2975,8,146,3.62,3.5,9.3,116,4800,24,30,17669
174,-1,toyota corolla,gas,four,sedan,102.4,175.6,66.5,54.9,2326,8,122,3.31,3.54,8.7,92,4200,29,34,8948
175,-1,toyota celica gt,diesel,four,sedan,102.4,175.6,66.5,54.9,2480,8,110,3.27,3.35,22.5,73,4500,30,33,10698
176,-1,toyota corona,gas,four,hatchback,102.4,175.6,66.5,53.9,2414,8,122,3.31,3.54,8.7,92,4200,27,32,9988
177,-1,toyota corolla,gas,four,sedan,102.4,175.6,66.5,54.9,2414,8,122,3.31,3.54,8.7,92,4200,27,32,10898
178,-1,toyota mark ii,gas,four,hatchback,102.4,175.6,66.5,53.9,2458,8,122,3.31,3.54,8.7,92,4200,27,32,11248
179,3,toyota corolla liftback,gas,two,hatchback,102.9,183.5,67.7,52,2976,6,171,3.27,3.35,9.3,161,5200,20,24,16558
180,3,toyota corona,gas,two,hatchback,102.9,183.5,67.7,52,3016,6,171,3.27,3.35,9.3,161,5200,19,24,15998
181,-1,toyota starlet,gas,four,sedan,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,156,5200,20,24,15690
182,-1,toyouta tercel,gas,four,wagon,104.5,187.8,66.5,54.1,3151,6,161,3.27,3.35,9.2,156,5200,19,24,15750
183,2,vokswagen rabbit,diesel,two,sedan,97.3,171.7,65.5,55.7,2261,8,97,3.01,3.4,23,52,4800,37,46,7775
184,2,volkswagen 1131 deluxe sedan,gas,two,sedan,97.3,171.7,65.5,55.7,2209,8,109,3.19,3.4,9,85,5250,27,34,7975
185,2,volkswagen model 111,diesel,four,sedan,97.3,171.7,65.5,55.7,2264,8,97,3.01,3.4,23,52,4800,37,46,7995
186,2,volkswagen type 3,gas,four,sedan,97.3,171.7,65.5,55.7,2212,8,109,3.19,3.4,9,85,5250,27,34,8195
187,2,volkswagen 411 (sw),gas,four,sedan,97.3,171.7,65.5,55.7,2275,8,109,3.19,3.4,9,85,5250,27,34,8495
188,2,volkswagen super beetle,diesel,four,sedan,97.3,171.7,65.5,55.7,2319,8,97,3.01,3.4,23,68,4500,37,42,9495
189,2,volkswagen dasher,gas,four,sedan,97.3,171.7,65.5,55.7,2300,8,109,3.19,3.4,10,100,5500,26,32,9995
190,3,vw dasher,gas,two,convertible,94.5,159.3,64.2,55.6,2254,8,109,3.19,3.4,8.5,90,5500,24,29,11595
191,3,vw rabbit,gas,two,hatchback,94.5,165.7,64,51.4,2221,8,109,3.19,3.4,8.5,90,5500,24,29,9980
192,0,volkswagen rabbit,gas,four,sedan,100.4,180.2,66.9,55.1,2661,5,136,3.19,3.4,8.5,110,5500,19,24,13295
193,0,volkswagen rabbit custom,diesel,four,sedan,100.4,180.2,66.9,55.1,2579,8,97,3.01,3.4,23,68,4500,33,38,13845
194,0,volkswagen dasher,gas,four,wagon,100.4,183.1,66.9,55.1,2563,8,109,3.19,3.4,9,88,5500,25,31,12290
195,-2,volvo 145e (sw),gas,four,sedan,104.3,188.8,67.2,56.2,2912,8,141,3.78,3.15,9.5,114,5400,23,28,12940
196,-1,volvo 144ea,gas,four,wagon,104.3,188.8,67.2,57.5,3034,8,141,3.78,3.15,9.5,114,5400,23,28,13415
197,-2,volvo 244dl,gas,four,sedan,104.3,188.8,67.2,56.2,2935,8,141,3.78,3.15,9.5,114,5400,24,28,15985
198,-1,volvo 245,gas,four,wagon,104.3,188.8,67.2,57.5,3042,8,141,3.78,3.15,9.5,114,5400,24,28,16515
199,-2,volvo 264gl,gas,four,sedan,104.3,188.8,67.2,56.2,3045,8,130,3.62,3.15,7.5,162,5100,17,22,18420
200,-1,volvo diesel,gas,four,wagon,104.3,188.8,67.2,57.5,3157,8,130,3.62,3.15,7.5,162,5100,17,22,18950
201,-1,volvo 145e (sw),gas,four,sedan,109.1,188.8,68.9,55.5,2952,8,141,3.78,3.15,9.5,114,5400,23,28,16845
202,-1,volvo 144ea,gas,four,sedan,109.1,188.8,68.8,55.5,3049,8,141,3.78,3.15,8.7,160,5300,19,25,19045
203,-1,volvo 244dl,gas,four,sedan,109.1,188.8,68.9,55.5,3012,6,173,3.58,2.87,8.8,134,5500,18,23,21485
204,-1,volvo 246,diesel,four,sedan,109.1,188.8,68.9,55.5,3217,6,145,3.01,3.4,23,106,4800,26,27,22470
205,-1,volvo 264gl,gas,four,sedan,109.1,188.8,68.9,55.5,3062,8,141,3.78,3.15,9.5,114,5400,19,25,22625
